"","date","variable","strat","type","median","mean","sd","lower_90","lower_50","lower_20","upper_20","upper_50","upper_90"
"266",2020-10-14,"R",NA,"estimate",0.982537845713643,1.09979950216269,0.368086545175491,0.878857030719696,0.976229201099962,0.980339814801761,0.984726179300555,1.06008801790065,2.32024684375827
"267",2020-10-15,"R",NA,"estimate",0.968807701387985,1.09288640257831,0.37114191845551,0.878882852486777,0.962773129358405,0.96654401842931,0.971471725368245,1.0597911742518,2.32369660882045
"268",2020-10-16,"R",NA,"estimate",0.955774034241172,1.08688508953087,0.374692091529928,0.877718737426775,0.950158396615961,0.953618574503623,0.958943384242343,1.06050501711358,2.32934146517552
"269",2020-10-17,"R",NA,"estimate",0.94400790791799,1.0816750740912,0.378526149139012,0.877131943355039,0.93838107254086,0.941642152097105,0.947119667961427,1.05872167954564,2.33644849806104
"270",2020-10-18,"R",NA,"estimate",0.933107819817665,1.07714164462973,0.382455796573405,0.87771131103796,0.927555228826587,0.931002283751738,0.936310226988811,1.06046614287161,2.34436316724468
"271",2020-10-19,"R",NA,"estimate",0.923263340593992,1.07318280225898,0.386326958994812,0.878569124371354,0.917807787293943,0.921231287175554,0.926774505672566,1.06233854076009,2.35254980049403
"272",2020-10-20,"R",NA,"estimate",0.914365783915903,1.06971426213314,0.390028042250993,0.879594309189536,0.909058521803355,0.912430121903164,0.918011353912993,1.0641635435892,2.36061989774079
"273",2020-10-21,"R",NA,"estimate",0.906632804908153,1.06667215732672,0.393493994079511,0.88053285332443,0.901637234370635,0.904725107787911,0.91037133516043,1.06583932308932,2.36834563653615
"274",2020-10-22,"R",NA,"estimate",0.900777246962381,1.06401332781112,0.39670580321273,0.881416239629089,0.895231498565776,0.898414170908126,0.904434323692819,1.0673358309483,2.37565753707324
"275",2020-10-23,"R",NA,"estimate",0.895400820762635,1.06171335662841,0.399685647908141,0.880715168224183,0.889675255570776,0.892638071267792,0.900810693795745,1.06868635760325,2.3826270763249
"276",2020-10-24,"R",NA,"estimate",0.89104568484349,1.05976277319634,0.402488436080168,0.876995157781822,0.884421575997778,0.887902642140523,0.897676350918043,1.06997358233817,2.38943677501503
"277",2020-10-25,"R",NA,"estimate",0.887031662014769,1.05816203021562,0.405190865652348,0.873268703007918,0.880206341851349,0.883650357234737,0.897347096105101,1.07131189375339,2.39634159356655
"278",2020-10-26,"R",NA,"estimate",0.88377354923983,1.05691594617026,0.407879318973651,0.869718336635849,0.876220305038546,0.879756898649064,0.898237480126283,1.07282804162088,2.40362616314353
"279",2020-10-27,"R",NA,"estimate",0.880774998542715,1.05602828608766,0.410637885794641,0.86612317807356,0.8728250928741,0.876768727276836,0.89908649528657,1.07464216494179,2.41156240644358
"280",2020-10-28,"R",NA,"estimate",0.877671631386527,1.05549704818688,0.413537627556444,0.863154281746255,0.869666881089969,0.873853794779138,0.899893141392262,1.07685097791616,2.42037157354845
"281",2020-10-29,"R",NA,"estimate",0.875750797385558,1.05531086588798,0.416627918390506,0.860436074293235,0.866832031232406,0.870703663676348,0.900438215738025,1.07951447239614,2.43019381743256
"282",2020-10-30,"R",NA,"estimate",0.873724641839392,1.05544675790022,0.419930392043356,0.857967040174357,0.864306825296943,0.868117205758006,0.901161929063105,1.08234468714408,2.44106736043689
"283",2020-10-31,"R",NA,"estimate",0.871884856815214,1.05586929092459,0.42343573650169,0.856127971661035,0.862182488316325,0.865928478972925,0.90184736245014,1.0854116724067,2.4529182137228
"284",2020-11-01,"R",NA,"estimate",0.869629093687881,1.05653107531206,0.427103329720893,0.854193805671472,0.860271595313355,0.863843844269186,0.902497633100578,1.08828809980705,2.46556039793333
"285",2020-11-02,"R",NA,"estimate",0.867692900615922,1.05737439826547,0.430863497802389,0.852703995957425,0.858579846592336,0.861888856417613,0.903116307630239,1.09186100367363,2.478705710258
"286",2020-11-03,"R",NA,"estimate",0.865757209764523,1.05833370984386,0.434621988349655,0.851236175736003,0.857282469168487,0.860529401509971,0.90370707602314,1.0960356089672,2.49198129889054
"287",2020-11-04,"R",NA,"estimate",0.864108449710809,1.05933861138721,0.438266078868548,0.849729876546914,0.855964232929661,0.859273409379115,0.904273401481423,1.09880013465566,2.50495265425733
"288",2020-11-05,"R",NA,"estimate",0.863133573869997,1.06031695504155,0.441671591135789,0.848534944320982,0.854884966845055,0.858184716159594,0.904818173002462,1.10175361224856,2.51714914853032
"289",2020-11-06,"R",NA,"estimate",0.861768326738799,1.06119765302476,0.444709982837097,0.847233610559254,0.853820598254879,0.857374142590454,0.905343394313164,1.1043447851377,2.52808902096662
"290",2020-11-07,"R",NA,"estimate",0.860851689671192,1.0619128254185,0.447254671728669,0.846523082196594,0.85283021786001,0.856445524934484,0.905849946067293,1.10583870958172,2.53730079673969
