"date","y"
"2021-04-08",8875
"2021-04-09",9193
"2021-04-10",7965
"2021-04-11",7185
"2021-04-12",10371
"2021-04-13",8196
"2021-04-14",9364
"2021-04-15",9756
"2021-04-16",8268
"2021-04-17",7828
"2021-04-18",7191
"2021-04-19",9604
"2021-04-20",7903
"2021-04-21",8216
"2021-04-22",9033
"2021-04-23",8226
"2021-04-24",7184
"2021-04-25",6601
"2021-04-26",8646
"2021-04-27",7503
"2021-04-28",8269
"2021-04-29",8358
"2021-04-30",7966
"2021-05-01",7766
"2021-05-02",6139
"2021-05-03",8315
"2021-05-04",6901
"2021-05-05",7719
"2021-05-06",8083
"2021-05-07",7746
"2021-05-08",6479
"2021-05-09",5535
"2021-05-10",6941
"2021-05-11",6082
"2021-05-12",6614
"2021-05-13",6352
"2021-05-14",6012
"2021-05-15",4793
"2021-05-16",4269
"2021-05-17",4992
"2021-05-18",4381
"2021-05-19",4990
"2021-05-20",4478
"2021-05-21",4471
"2021-05-22",3432
"2021-05-23",2831
"2021-05-24",2373
"2021-05-25",3497
"2021-05-26",2851
"2021-05-27",3026
"2021-05-28",2944
"2021-05-29",2348
"2021-05-30",1852
"2021-05-31",2349
"2021-06-01",1830
"2021-06-02",2196
"2021-06-03",2155
"2021-06-04",1813
"2021-06-05",1501
"2021-06-06",1188
"2021-06-07",1463
"2021-06-08",1374
"2021-06-09",1573
"2021-06-10",1438
"2021-06-11",1349
"2021-06-12",1162
"2021-06-13",922
"2021-06-14",1052
"2021-06-15",970
"2021-06-16",1018
"2021-06-17",1098
"2021-06-18",989
"2021-06-19",743
"2021-06-20",619
"2021-06-21",684
"2021-06-22",652
"2021-06-23",709
"2021-06-24",708
"2021-06-25",638
"2021-06-26",520
"2021-06-27",403
"2021-06-28",712
"2021-06-29",628
"2021-06-30",550
"2021-07-01",276
"2021-07-02",656
"2021-07-03",385
"2021-07-04",293
"2021-07-05",573
"2021-07-06",405
"2021-07-07",560
"2021-07-08",523
"2021-07-09",534
"2021-07-10",347
"2021-07-11",269
"2021-07-12",454
"2021-07-13",365
"2021-07-14",324
"2021-07-15",447
"2021-07-16",366
"2021-07-17",347
"2021-07-18",291
"2021-07-19",565
"2021-07-20",355
"2021-07-21",538
"2021-07-22",394
"2021-07-23",595
"2021-07-24",374
"2021-07-25",294
"2021-07-26",944
"2021-07-27",594
"2021-07-28",843
"2021-07-29",931
"2021-07-30",905
"2021-07-31",472
"2021-08-01",380
"2021-08-02",336
"2021-08-03",2030
"2021-08-04",1093
"2021-08-05",1590
"2021-08-06",1625
"2021-08-07",719
"2021-08-08",729
"2021-08-09",2857
"2021-08-10",1417
"2021-08-11",2079
"2021-08-12",2162
"2021-08-13",2438
"2021-08-14",1072
"2021-08-15",929
"2021-08-16",3917
"2021-08-17",1974
"2021-08-18",2596
"2021-08-19",2902
"2021-08-20",3030
"2021-08-21",1464
"2021-08-22",1191
"2021-08-23",4808
